"№ пары","Неделя","Понедельник","Вторник","Среда","Четверг","Пятница","Суббота",
"1 пара
08:30-
10:00","1","","","","","","лек Программные средства создания мультимедиа приложений,
 Филатова З.М., Ауд. ",
"","2","","","","","","лек Программные средства создания мультимедиа приложений,
                        Филатова З.М., Ауд.",
"2 пара
10:10-
11:40","1","","","","","","лаб Программные средства создания мультимедиа приложений,
 Филатова З.М., Ауд. ",
"","2","","","","","","лаб Программные средства создания мультимедиа приложений,
                        Филатова З.М., Ауд.",
"3 пара
11:50-
13:20","1","","лек Правоведение,
 доц.Рафиков А.М., Ауд. ","","лек Управление разработкой информационных систем,
 Еремина И.И., Ауд. ","","",
"","2","","лаб Разработка программных приложений,
 Еремина И.И., Ауд. ","","пр. Управление разработкой информационных систем,
 Еремина И.И., Ауд. ","","",
"4 пара
13:40-
15:10","1","","лаб Разработка программных приложений,
 Еремина И.И., Ауд. ","лек Экономическая теория,
 доц.Несмеянова Е.И., Ауд. ","лаб Проектный практикум,
 Еремина И.И., Ауд. ","лек Основы моделирования,
 Вазиева А.Р., Ауд. ","",
"","2","","лек Разработка программных приложений,
 Еремина И.И., Ауд. ","","лаб Проектный практикум,
                           Еремина И.И., Ауд. ","лек Основы моделирования,
                                                  Вазиева А.Р., Ауд.","",
"5 пара
15:20-
16:50","1","","лек Разработка программных приложений,
 Еремина И.И., Ауд. ","пр. Экономическая теория,
 доц.Несмеянова Е.И., Ауд. ","лаб Основы логического программирования,
 Миникаев Л.Р., Ауд. ","лаб Основы моделирования,
 Вазиева А.Р., Ауд. ","",
"","2","","","пр. Экономическая теория,
               доц.Несмеянова Е.И., Ауд.","лаб Основы логического программирования,
                                            Миникаев Л.Р., Ауд.","лаб Основы моделирования,
                                                                   Вазиева А.Р., Ауд.","",
"6 пара
17:00-
18:30","1","","","","лек Основы логического программирования,
 Миникаев Л.Р., Ауд. ","лек Культурология и социология,
 проф.Дырин С.П., Ауд. ","",
"","2","","","","пр. Правоведение,
 преп.Кирушин К.Р., Ауд. ","пр. Культурология и социология,
 проф.Дырин С.П., Ауд. ",""
